Occurrence_ID,Occurrence_Name,Mineral,Latitude,Longitude,District,State,Location_Description,Deposit_Type,Geological_Formation,Host_Rock,Historical_Status,Source_Name,Source_Page,Source_Reference
OCC_0011,Kurmura - Sitasaongi Prospect,Manganese,"21°32'39""N","79°45'15""E",Bhandara,Maharashtra,"Kurmura village, Tumsar Tahsil, Toposheet 55O/14",Stratiform gondite band,"Mansar Formation, Sausar Group",Muscovite Schist and Quartzite,Prospect,Geology and Mineral Resources of Maharashtra - DGM,45-60,Directorate of Geology and Mining Nagpur
OCC_0012,Kandri Mine,Manganese,"21°24'45""N","79°16'00""E",Nagpur,Maharashtra,"Kandri Village, Ramtek Tahsil, Survey of India Toposheet 55O/07",Stratiform gonditic horizon,"Mansar Formation, Sausar Group","Mica Schist, Quartzite and Gondite",Producing Mine,MPCB Executive Summary Kandri Manganese Mine,1-18,MOIL Kandri EIA/EMP Report
OCC_0013,Mansar (Munsar) Deposit,Manganese,"21°24'15""N","79°16'45""E",Nagpur,Maharashtra,"Munsar, Chargaon, Parsoda villages, Ramtek Tahsil, Toposheet 55O/07",Stratiform bedded manganese silicate-oxide,"Mansar Formation (Type Area), Sausar Group",Mansar Mica Schist and Gondite,Producing Mine,MoEFCC Terms of Reference Munsar Manganese Mine,1-15,MoEFCC Form-1 / PFR Munsar
OCC_0014,Gumgaon - Kodegaon Deposit,Manganese,"21°24'12""N","78°59'07""E",Nagpur,Maharashtra,"Gumgaon, Kodegaon and Tegai villages, Saoner Tahsil, Toposheet 55K/15",Stratiform oxide band,"Mansar Formation, Sausar Group",Mica Schist and Quartzite,Producing Mine,MoEFCC Online TOR Gumgaon Manganese Lease,1-22,Environment Clearance Form A - Gumgaon Mine
OCC_0015,Beldongri - Nagardhan Deposit,Manganese,"21°20'25""N","79°17'32""E",Nagpur,Maharashtra,"Beldongri village, Parseoni Tahsil, Toposheet 55O/07",Stratiform gonditic oxide,"Mansar Formation, Sausar Group",Tirodi Migmatitic Gneiss and Muscovite Schist,Producing Mine,IBM MCDR Inspection Report - Beldongri Mine,1-14,Indian Bureau of Mines Nagpur Regional Office
OCC_0016,Satak Mine Area,Manganese,"21°20'35""N","79°16'23""E",Nagpur,Maharashtra,"Satak Village, Parseoni Tahsil, Toposheet 55O/07",Stratiform gondite,"Mansar Formation, Sausar Group",Biotite-Muscovite Schist and Gondite,Historical Mine,MPCB Public Hearing Executive Summary Satak,1-12,Maharashtra Pollution Control Board Notification
OCC_0017,Parseoni - Pallora Block,Manganese,"21°22'12""N","79°09'36""E",Nagpur,Maharashtra,"Parseoni and Pallora villages, Parseoni Taluka, Toposheet 55O/03",Gonditic bedded deposit,"Lohangi / Mansar Formation, Sausar Group","Quartzite, Calc-silicate and Mica Schist",Exploration Area,MPCB Executive Summary Parseoni Manganese Block,1-20,DGM Maharashtra Mineral Exploration Dossier
OCC_0018,Mandri - Panchala Block,Manganese,"21°24'26""N","79°32'02""E",Nagpur,Maharashtra,"Mandri Panchala Block, Ramtek Tahsil, Toposheet 55O/07",Bedded gondite,"Mansar / Lohangi Formation, Sausar Group",Calc-silicate and Mica Schist,Exploration Area,NMET Exploration Report - Mandri Panchala G4 Block,1-42,National Mineral Exploration Trust (NMET) Project Dossier
OCC_0019,Gowari - Wadhona Occurrence,Manganese,"21°29'40""N","78°48'46""E",Chhindwara,Madhya Pradesh,"Gowari-Wadhona Village, Sausar Tahsil, Toposheet 55K/14",Stratiform gonditic lens,"Lohangi / Mansar Formation, Sausar Group",Pink Calcite Marble and Gondite,Historical Mine,MPPCB Executive Summary Gowari-Wadona / Mindat Loc-56560,1-16,MPPCB Environmental Appraisal Dossier
OCC_0020,Kachidhana Prospect,Manganese,"21°43'00""N","78°46'00""E",Chhindwara,Madhya Pradesh,"Kachidhana village, Sausar / Mohkhed Tahsil, Toposheet 55K/14",Stratiform braunite-gondite deposit,"Mansar Formation, Sausar Group","Gondite, Braunite-Quartz Rock, Mica Schist",Prospect,GSI Memoir Sausar Belt Manganese Deposits,112-135,Geological Survey of India Miscellaneous Publication 30
OCC_0021,Bhilapar Manganese Deposit,Manganese,"21°35'29""N","78°56'11""E",Chhindwara,Madhya Pradesh,"Bhilapar village, Sausar Tahsil, Toposheet 55K/14",Stratiform metasedimentary oxide,"Lohangi Formation, Sausar Group","Calc-gneiss, Gondite and Marble",Deposit,Ministry of Mines Geological Prospecting Report & MoEF PFR,1-28,Ministry of Mines Project Dossier Bhilapar
OCC_0022,Joda West Manganese Mine,Manganese,"21°58'00""N","85°23'00""E",Keonjhar,Odisha,"Joda, Bichakundi, Kamarjoda villages, Barbil Tahsil, Toposheet 73F/08",Lateritoid and strata-bound supergene deposit,Iron Ore Group (IOG),"Shale, Jasper and Banded Iron Formation",Producing Mine,Tata Steel Environmental Clearance EIA/EMP & MoEFCC EC Letter,1-55,MoEFCC Online TOR Joda West Iron & Manganese Lease
OCC_0023,Koira Manganese Block,Manganese,"21°55'00""N","85°14'00""E",Sundargarh,Odisha,"Koira valley, Bonai Tahsil, Toposheet 73G/01",Strata-bound / cavity filling oxide,Iron Ore Group (IOG),Manganiferous Shale and Chert,Producing Mine,GSI Bulletin Series A - Manganese Ore Deposits of Bonai-Keonjhar Belt,1-80,Odisha Mining Corporation Exploration Record
OCC_0024,Sandur (Subbarayanahalli) Mine,Manganese,"14°59'51""N","76°34'09""E",Ballari,Karnataka,"Sandur range, Ballari District, Survey of India Toposheet 57A/12",Stratiform / supergene enriched oxide,"Deogiri Formation, Sandur Schist Belt, Dharwar Supergroup","Manganiferous Greywacke, Phyllite and Banded Ferruginous Chert",Producing Mine,IBM Indian Minerals Yearbook & SEIAA EC Report,1-35,Sandur Manganese & Iron Ores Ltd (SMIORE) Compliance Dossier
OCC_0025,Garbham Manganese Mine,Manganese,"18°22'14""N","83°25'37""E",Vizianagaram,Andhra Pradesh,"Garbham Village, Merakamudidam Mandal, Toposheet 65N/07",Stratiform koduritic oxide body,"Khondalite Group, Eastern Ghats Mobile Belt","Calc-granulite, Kodurite and Garnetiferous Quartzite",Producing Mine,MoEFCC Pre-Feasibility Report Garbham Manganese Mine,1-26,Andhra Pradesh Mineral Development Corp (APMDC) Dossier
