Grid_ID,UTM_Easting,UTM_Northing,Latitude,Longitude,District,State,Elevation_m,Slope_deg,Terrain_Roughness,Geological_Formation,Host_Rock_Lithology,Host_Rock_Favorability,Lineament_Distance_km,Occurrence_Distance_km,Occurrence_Count_5km,Occurrence_Count_10km,Occurrence_Count_15km,Occurrence_Density_Score,Mine_Distance_km,NDVI,Rainfall_Annual_mm,Soil_Moisture_pct,LST_Celsius,Data_Source_Flag
GRID_00015,286500.0,2340500.0,21.15333,78.94393,Nagpur,Maharashtra,265.0,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.252,28.015,0,0,0,0.03,28.015,0.347,1014.2,21.9,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00016,287500.0,2340500.0,21.153446,78.953556,Nagpur,Maharashtra,266.2,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.465,27.867,0,0,0,0.03,27.867,0.348,1016.5,22.0,34.9,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00017,288500.0,2340500.0,21.153563,78.963182,Nagpur,Maharashtra,267.7,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.721,27.754,0,0,0,0.03,27.754,0.349,1018.8,22.0,34.9,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00018,289500.0,2340500.0,21.153678,78.972808,Nagpur,Maharashtra,269.4,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.017,27.676,0,0,0,0.03,27.676,0.351,1021.1,22.0,34.9,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00019,290500.0,2340500.0,21.153793,78.982433,Nagpur,Maharashtra,271.3,0.5,0.77,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.352,27.635,0,0,0,0.04,27.635,0.352,1023.4,22.0,34.9,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00020,291500.0,2340500.0,21.153908,78.992059,Nagpur,Maharashtra,273.4,0.5,0.77,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.725,27.629,0,0,0,0.04,27.629,0.353,1025.7,22.1,34.8,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00021,292500.0,2340500.0,21.154022,79.001685,Nagpur,Maharashtra,275.6,0.5,0.78,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),24.116,27.66,0,0,0,0.04,27.66,0.354,1028.0,22.1,34.8,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00022,293500.0,2340500.0,21.154135,79.011311,Nagpur,Maharashtra,277.9,0.5,0.78,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),24.507,27.727,0,0,0,0.05,27.727,0.355,1030.3,22.1,34.8,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00023,294500.0,2340500.0,21.154248,79.020937,Nagpur,Maharashtra,280.1,0.5,0.79,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),24.898,27.83,0,0,0,0.05,27.83,0.356,1032.5,22.1,34.8,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00024,295500.0,2340500.0,21.15436,79.030564,Nagpur,Maharashtra,282.4,0.5,0.79,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),25.289,27.398,0,0,0,0.06,27.968,0.357,1034.8,22.1,34.7,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00025,296500.0,2340500.0,21.154472,79.04019,Nagpur,Maharashtra,284.5,0.5,0.79,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),25.68,26.911,0,0,0,0.07,28.141,0.359,1037.1,22.2,34.7,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00026,297500.0,2340500.0,21.154583,79.049816,Nagpur,Maharashtra,286.5,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),26.07,26.453,0,0,0,0.08,28.348,0.36,1039.4,22.2,34.7,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00027,298500.0,2340500.0,21.154694,79.059442,Nagpur,Maharashtra,288.2,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),26.461,26.025,0,0,0,0.09,28.589,0.361,1041.7,22.2,34.7,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00028,299500.0,2340500.0,21.154804,79.069069,Nagpur,Maharashtra,289.8,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),26.852,25.629,0,0,0,0.11,28.862,0.362,1044.0,22.2,34.6,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00029,300500.0,2340500.0,21.154914,79.078695,Nagpur,Maharashtra,291.1,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),27.243,25.267,0,0,0,0.13,29.167,0.363,1046.3,22.2,34.6,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00030,301500.0,2340500.0,21.155023,79.088322,Nagpur,Maharashtra,292.1,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),27.634,24.94,0,0,0,0.15,29.474,0.364,1048.6,22.2,34.6,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00031,302500.0,2340500.0,21.155131,79.097948,Nagpur,Maharashtra,292.8,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),28.025,24.648,0,0,0,0.18,28.756,0.365,1050.9,22.3,34.6,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00032,303500.0,2340500.0,21.155239,79.107575,Nagpur,Maharashtra,293.2,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),28.416,24.395,0,0,0,0.21,28.056,0.366,1053.2,22.3,34.6,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00033,304500.0,2340500.0,21.155347,79.117202,Nagpur,Maharashtra,293.4,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),28.807,24.18,0,0,0,0.24,27.374,0.368,1055.4,22.3,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00034,305500.0,2340500.0,21.155454,79.126829,Nagpur,Maharashtra,293.3,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),29.198,24.004,0,0,0,0.29,26.712,0.369,1057.7,22.3,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00035,306500.0,2340500.0,21.15556,79.136455,Nagpur,Maharashtra,292.9,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),29.589,23.87,0,0,0,0.34,26.072,0.37,1060.0,22.3,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00036,307500.0,2340500.0,21.155666,79.146082,Nagpur,Maharashtra,292.4,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),29.98,23.776,0,0,0,0.39,25.455,0.371,1062.3,22.4,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00037,308500.0,2340500.0,21.155771,79.155709,Nagpur,Maharashtra,291.7,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),30.371,23.725,0,0,0,0.45,24.862,0.372,1064.6,22.4,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00038,309500.0,2340500.0,21.155876,79.165336,Nagpur,Maharashtra,291.0,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),30.762,23.549,0,0,0,0.52,24.297,0.373,1066.9,22.4,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00039,310500.0,2340500.0,21.15598,79.174963,Nagpur,Maharashtra,290.2,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),31.153,23.081,0,0,0,0.6,23.76,0.374,1069.2,22.4,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00040,311500.0,2340500.0,21.156083,79.18459,Nagpur,Maharashtra,289.5,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),31.543,22.647,0,0,0,0.68,23.254,0.376,1071.5,22.4,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00041,312500.0,2340500.0,21.156186,79.194218,Nagpur,Maharashtra,288.8,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),31.934,22.25,0,0,0,0.77,22.78,0.377,1073.8,22.5,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00042,313500.0,2340500.0,21.156289,79.203845,Nagpur,Maharashtra,288.3,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),32.325,21.891,0,0,0,0.87,22.342,0.378,1076.0,22.5,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00043,314500.0,2340500.0,21.156391,79.213472,Nagpur,Maharashtra,288.0,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),32.716,21.573,0,0,0,0.96,21.94,0.379,1078.3,22.5,34.5,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00044,315500.0,2340500.0,21.156492,79.2231,Nagpur,Maharashtra,287.9,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),33.107,21.297,0,0,0,1.05,21.577,0.38,1080.6,22.5,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00045,316500.0,2340500.0,21.156593,79.232727,Nagpur,Maharashtra,288.1,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),33.498,21.065,0,0,0,1.14,21.255,0.381,1082.9,22.5,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00046,317500.0,2340500.0,21.156693,79.242354,Nagpur,Maharashtra,288.6,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),33.889,20.879,0,0,0,1.22,20.975,0.382,1085.2,22.5,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00047,318500.0,2340500.0,21.156793,79.251982,Nagpur,Maharashtra,289.3,0.5,0.8,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),34.28,20.739,0,0,0,1.28,20.74,0.383,1087.5,22.6,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00048,319500.0,2340500.0,21.156892,79.26161,Nagpur,Maharashtra,290.4,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),34.671,20.552,0,0,0,1.33,20.552,0.385,1089.8,22.6,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00049,320500.0,2340500.0,21.156991,79.271237,Nagpur,Maharashtra,291.8,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),35.062,20.41,0,0,0,1.36,20.41,0.386,1092.1,22.6,34.4,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00050,321500.0,2340500.0,21.157089,79.280865,Nagpur,Maharashtra,293.5,0.5,0.81,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),35.453,20.317,0,0,0,1.37,20.317,0.387,1094.4,22.6,34.3,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00051,322500.0,2340500.0,21.157187,79.290493,Nagpur,Maharashtra,295.4,0.5,0.82,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),35.844,20.272,0,0,0,1.36,20.272,0.388,1096.7,22.7,34.3,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00052,323500.0,2340500.0,21.157284,79.30012,Nagpur,Maharashtra,297.5,0.5,0.82,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),36.235,20.277,0,0,0,1.33,20.277,0.389,1098.9,22.7,34.3,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00053,324500.0,2340500.0,21.15738,79.309748,Nagpur,Maharashtra,299.8,0.5,0.82,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),36.626,20.332,0,0,0,1.28,20.332,0.39,1101.2,22.7,34.3,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00054,325500.0,2340500.0,21.157476,79.319376,Nagpur,Maharashtra,302.2,0.5,0.83,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),37.016,20.435,0,0,0,1.21,20.435,0.391,1103.5,22.7,34.2,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00055,326500.0,2340500.0,21.157571,79.329004,Nagpur,Maharashtra,304.6,0.5,0.83,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),37.407,20.586,0,0,0,1.12,20.586,0.393,1105.8,22.7,34.2,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00056,327500.0,2340500.0,21.157666,79.338632,Nagpur,Maharashtra,307.1,0.5,0.84,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),37.798,20.784,0,0,0,1.02,20.784,0.394,1108.1,22.8,34.2,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00057,328500.0,2340500.0,21.15776,79.34826,Nagpur,Maharashtra,309.4,0.5,0.84,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),38.189,21.028,0,0,0,0.92,21.028,0.395,1110.4,22.8,34.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00058,329500.0,2340500.0,21.157854,79.357888,Nagpur,Maharashtra,311.6,0.5,0.85,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),38.58,21.316,0,0,0,0.81,21.316,0.396,1112.7,22.8,34.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00059,330500.0,2340500.0,21.157947,79.367517,Nagpur,Maharashtra,313.6,0.5,0.85,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),38.971,21.647,0,0,0,0.71,21.647,0.397,1115.0,22.8,34.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00060,331500.0,2340500.0,21.15804,79.377145,Nagpur,Maharashtra,315.4,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),39.362,22.018,0,0,0,0.6,22.018,0.398,1117.3,22.8,34.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00061,332500.0,2340500.0,21.158132,79.386773,Nagpur,Maharashtra,316.9,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),39.753,22.428,0,0,0,0.51,22.428,0.399,1119.6,22.8,34.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00062,333500.0,2340500.0,21.158224,79.396402,Nagpur,Maharashtra,318.1,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),40.144,22.874,0,0,0,0.42,22.874,0.4,1121.8,22.9,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00063,334500.0,2340500.0,21.158315,79.40603,Nagpur,Maharashtra,319.0,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),40.535,23.354,0,0,0,0.34,23.354,0.402,1124.1,22.9,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00064,335500.0,2340500.0,21.158405,79.415658,Nagpur,Maharashtra,319.6,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),40.926,23.866,0,0,0,0.27,23.866,0.403,1126.4,22.9,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00065,336500.0,2340500.0,21.158495,79.425287,Nagpur,Maharashtra,319.9,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),41.317,24.409,0,0,0,0.22,24.409,0.404,1128.7,22.9,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00066,337500.0,2340500.0,21.158584,79.434915,Nagpur,Maharashtra,319.8,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),41.708,24.98,0,0,0,0.17,24.98,0.405,1131.0,22.9,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00067,338500.0,2340500.0,21.158673,79.444544,Nagpur,Maharashtra,319.5,0.5,0.86,Quaternary Alluvium & Undifferentiated Crystalline,"Alluvial Silt, Clay, and Weathered Gneiss",Unfavorable (Surface Sedimentary Cover),42.099,25.578,0,0,0,0.14,25.578,0.406,1133.3,23.0,34.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
